"Facility.ID","Facility.Name","reported_measures","avg_err"
10001,"SOUTHEAST HEALTH MEDICAL CENTER",6,0.978383333333333
10006,"NORTH ALABAMA MEDICAL CENTER",6,1.00021666666667
10011,"ST. VINCENT'S EAST",5,1.02746
10012,"DEKALB REGIONAL MEDICAL CENTER",5,1.01734
10016,"SHELBY BAPTIST MEDICAL CENTER",6,1.0397
10023,"BAPTIST MEDICAL CENTER SOUTH",6,1.03326666666667
10024,"JACKSON HOSPITAL & CLINIC INC",5,0.9889
10029,"THE EAST ALABAMA HEALTHCARE AUTHORITY",6,0.972633333333333
10033,"UNIVERSITY OF ALABAMA HOSPITAL",6,1.15155
10035,"CULLMAN REGIONAL MEDICAL CENTER",5,0.99414
10039,"HUNTSVILLE HOSPITAL",6,0.948683333333333
10040,"GADSDEN REGIONAL MEDICAL CENTER",6,1.03891666666667
10046,"RIVERVIEW REGIONAL MEDICAL CENTER",5,1.06688
10055,"FLOWERS HOSPITAL",6,1.09018333333333
10056,"ST VINCENT'S BIRMINGHAM",6,1.056
10065,"RUSSELL MEDICAL CENTER",5,0.95112
10078,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER",5,1.08584
10083,"BALDWIN HEALTH",5,1.04566
10085,"DECATUR MORGAN HOSPITAL - DECATUR CAMPUS",5,0.96532
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",6,1.01551666666667
10100,"THOMAS HOSPITAL",6,1.00303333333333
10103,"PRINCETON BAPTIST MEDICAL CENTER",6,0.9833
10104,"GRANDVIEW MEDICAL CENTER",6,1.01545
10113,"MOBILE INFIRMARY MEDICAL CENTER",6,1.01321666666667
10131,"CRESTWOOD MEDICAL CENTER",5,1.0425
10139,"BROOKWOOD BAPTIST MEDICAL CENTER",5,0.95766
10144,"SPRINGHILL MEDICAL CENTER",6,1.01155
20001,"PROVIDENCE ALASKA MEDICAL CENTER",6,0.926616666666667
20006,"MAT-SU REGIONAL MEDICAL CENTER",5,0.97334
20012,"FAIRBANKS MEMORIAL HOSPITAL",5,0.97238
20017,"ALASKA REGIONAL HOSPITAL",6,1.08643333333333
20026,"ALASKA NATIVE MEDICAL CENTER",5,0.94712
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",5,0.96546
30006,"TUCSON MEDICAL CENTER",6,1.07973333333333
30010,"ST. MARY'S HOSPITAL",5,1.00766
30011,"ST JOSEPH'S HOSPITAL",5,0.99334
