"State","avg_err","records"
"AK",0.987116666666667,36
"AL",1.01388421052632,247
"AR",1.00030641025641,156
"AZ",1.00087844827586,232
"CA",1.01007658959538,1038
"CO",0.967388524590164,183
"CT",0.996745535714286,112
"DC",0.992078571428571,28
"DE",0.978706451612903,31
"FL",1.02286640726329,771
"GA",1.01140260115607,346
"HI",0.983733333333333,42
"IA",0.97161679389313,131
"ID",0.943216071428571,56
"IL",1.01939042769857,491
"IN",0.997638940809969,321
"KS",0.966171337579618,157
"KY",1.01013524229075,227
"LA",1.00798783783784,222
"MA",1.03442791666667,240
"MD",0.985906666666667,195
"ME",0.951504081632653,49
"MI",1.00539005524862,362
"MN",0.977825714285714,175
"MO",1.00112007042254,284
"MS",1.01409405405405,185
"MT",0.954052830188679,53
"NC",0.993686567164179,335
"ND",0.946648571428571,35
"NE",0.978695698924731,93
"NH",0.995387301587302,63
"NJ",1.02766801470588,272
"NM",0.98388552631579,76
"NV",1.01143829787234,94
"NY",1.00187730769231,520
"OH",1.00847941787942,481
"OK",0.997987168141593,226
"OR",0.959862595419847,131
"PA",1.0068776146789,545
"RI",0.989240540540541,37
"SC",1.00668663366337,202
"SD",0.965022448979592,49
"TN",1.00540245614035,285
"TX",1.00432538975501,898
"UT",0.955931313131313,99
"VA",0.994322185430464,302
"VT",0.988022222222222,27
"WA",0.963568115942029,207
"WI",0.982043673469388,245
"WV",1.01150210526316,95
"WY",0.985369696969697,33
